
Epoch: [0][900]	Val Loss 6.00 (6.04)	Batch Time 1.203 (3.831)	Data Time 3734.4459 (3.3294)	Loss 6.06468 (8.92186)	
Epoch: [1][900]	Val Loss 5.69 (5.73)	Batch Time 1.280 (3.562)	Data Time 3492.6601 (3.1130)	Loss 5.70297 (5.88845)	
Epoch: [2][900]	Val Loss 5.66 (5.58)	Batch Time 1.289 (3.620)	Data Time 3549.9227 (3.1657)	Loss 6.11231 (5.68856)	
Epoch: [3][900]	Val Loss 5.64 (5.41)	Batch Time 1.177 (3.549)	Data Time 3479.6141 (3.1018)	Loss 5.27359 (5.50436)	
Epoch: [4][900]	Val Loss 4.89 (5.27)	Batch Time 1.270 (3.551)	Data Time 3483.1221 (3.1049)	Loss 5.39922 (5.36681)	
Epoch: [5][900]	Val Loss 4.94 (5.15)	Batch Time 1.227 (3.554)	Data Time 3485.4769 (3.1069)	Loss 5.71928 (5.13178)	
Epoch: [6][900]	Val Loss 4.94 (5.13)	Batch Time 1.216 (3.541)	Data Time 3472.2079 (3.0952)	Loss 5.13548 (5.07780)	
Epoch: [7][900]	Val Loss 4.98 (5.11)	Batch Time 1.304 (3.561)	Data Time 3495.9226 (3.1164)	Loss 4.75370 (5.06901)	
Epoch: [8][900]	Val Loss 5.46 (5.11)	Batch Time 1.218 (3.598)	Data Time 3527.4484 (3.1442)	Loss 5.55149 (5.05010)	
Epoch: [9][900]	Val Loss 4.51 (5.08)	Batch Time 1.167 (3.579)	Data Time 3511.8504 (3.1303)	Loss 5.72113 (5.04231)	
Epoch: [10][900]	Val Loss 4.97 (5.10)	Batch Time 1.342 (3.664)	Data Time 3590.9359 (3.2006)	Loss 5.49519 (5.02697)	
Epoch: [11][900]	Val Loss 4.88 (5.08)	Batch Time 1.268 (3.578)	Data Time 3512.2277 (3.1307)	Loss 4.68309 (4.99747)	
Epoch: [12][900]	Val Loss 5.06 (5.06)	Batch Time 1.262 (3.610)	Data Time 3540.0991 (3.1562)	Loss 5.09904 (4.98163)	
Epoch: [13][900]	Val Loss 4.76 (5.03)	Batch Time 1.334 (3.613)	Data Time 3539.0836 (3.1546)	Loss 4.19079 (4.96183)	
Epoch: [14][900]	Val Loss 4.61 (5.03)	Batch Time 1.275 (3.708)	Data Time 3636.9400 (3.2429)	Loss 4.94194 (4.95699)	
Epoch: [15][900]	Val Loss 4.40 (5.02)	Batch Time 1.307 (3.704)	Data Time 3630.1732 (3.2356)	Loss 4.25688 (4.94750)	
Epoch: [16][900]	Val Loss 5.29 (5.03)	Batch Time 1.312 (3.704)	Data Time 3637.1461 (3.2417)	Loss 5.15886 (4.92878)	
Epoch: [17][900]	Val Loss 4.29 (5.03)	Batch Time 1.375 (3.765)	Data Time 3688.8075 (3.2874)	Loss 4.77490 (4.91673)	
Epoch: [18][900]	Val Loss 4.69 (5.03)	Batch Time 1.265 (3.711)	Data Time 3636.4498 (3.2415)	Loss 4.73342 (4.91301)	
Epoch: [19][900]	Val Loss 5.27 (5.01)	Batch Time 1.332 (3.742)	Data Time 3664.5159 (3.2662)	Loss 5.77978 (4.91157)	
Epoch: [20][900]	Val Loss 4.54 (5.02)	Batch Time 1.284 (3.696)	Data Time 3622.0458 (3.2284)	Loss 6.06803 (4.90857)	
Epoch: [21][900]	Val Loss 5.17 (5.03)	Batch Time 1.339 (9.591)	Data Time 8953.8204 (7.9642)	Loss 4.89093 (4.92024)	
Epoch: [22][900]	Val Loss 4.68 (5.02)	Batch Time 1.342 (3.908)	Data Time 3833.3039 (3.4172)	Loss 4.76097 (4.89931)	
Epoch: [23][900]	Val Loss 3.95 (5.01)	Batch Time 1.342 (3.926)	Data Time 3850.9427 (3.4333)	Loss 4.50488 (4.90847)	
